Question,1,2,3,4,5,N
Frat Parties,33.78,2.70,19.59,31.08,12.84,99.99
Dorm Room,16.89,2.70,28.38,33.11,18.92,100.0
Club Event,0.68,1.35,53.38,13.51,18.24,12.84,100.0
Off-Campus,0.0,64.19,2.70,3.38,29.73,100.0
Tufts Event,2.03,7.43,32.43,27.70,28.38,2.03,100.0
Bars / Public,1.35,4.05,48.65,10.14,23.65,12.16,100.0
